0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,Three Months Ended,,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025",,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
Numerator:,Numerator:,Numerator:,,,,,,,,,,,,,,,,,,,,,
Net income,Net income,Net income,$,29578,,,,,$,24780,,,,,$,71675,,,,,$,61110,
,,,,,,,,,,,,,,,,,,,,,,,
Denominator:,Denominator:,Denominator:,,,,,,,,,,,,,,,,,,,,,
Weighted-average basic shares outstanding,Weighted-average basic shares outstanding,Weighted-average basic shares outstanding,14673278,14673278,,,,,14994082,14994082,,,,,14710718,14710718,,,,,15037903,15037903,
Effect of dilutive share-based awards,Effect of dilutive share-based awards,Effect of dilutive share-based awards,52595,52595,,,,,62051,62051,,,,,57397,57397,,,,,65596,65596,
Weighted-average diluted shares,Weighted-average diluted shares,Weighted-average diluted shares,14725873,14725873,,,,,15056133,15056133,,,,,14768115,14768115,,,,,15103499,15103499,
,,,,,,,,,,,,,,,,,,,,,,,
Basic earnings per share,Basic earnings per share,Basic earnings per share,$,2.02,,,,,$,1.65,,,,,$,4.87,,,,,$,4.06,
Diluted earnings per share,Diluted earnings per share,Diluted earnings per share,$,2.01,,,,,$,1.65,,,,,$,4.85,,,,,$,4.05,
