0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026","Three Months Ended March 28, 2026"
,,,Americas,Americas,Americas,,,,Europe,Europe,Europe,,,,GreaterChina,GreaterChina,GreaterChina,,,,Japan,Japan,Japan,,,,Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,,,,Corporate,Corporate,Corporate,,,,Total,Total,Total
Net sales,Net sales,Net sales,$,45093,,,,,$,28055,,,,,$,20497,,,,,$,8401,,,,,$,9138,,,,,$,—,,,,,$,111184,
Cost of sales,Cost of sales,Cost of sales,"(23,114)","(23,114)",,,,,"(13,756)","(13,756)",,,,,"(10,633)","(10,633)",,,,,"(4,267)","(4,267)",,,,,"(4,633)","(4,633)",,,,,—,—,,,,,"(56,403)","(56,403)",
Research and development,Research and development,Research and development,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(11,419)","(11,419)",,,,,"(11,419)","(11,419)",
Selling and marketing,Selling and marketing,Selling and marketing,"(2,606)","(2,606)",,,,,"(1,247)","(1,247)",,,,,(675),(675),,,,,(295),(295),,,,,(378),(378),,,,,—,—,,,,,"(5,201)","(5,201)",
General and administrative,General and administrative,General and administrative,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(2,276)","(2,276)",,,,,"(2,276)","(2,276)",
Operating income/(loss),Operating income/(loss),Operating income/(loss),$,19373,,,,,$,13052,,,,,$,9189,,,,,$,3839,,,,,$,4127,,,,,$,"(13,695)",,,,,$,35885,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025","Three Months Ended March 29, 2025"
,,,Americas,Americas,Americas,,,,Europe,Europe,Europe,,,,Greater China,Greater China,Greater China,,,,Japan,Japan,Japan,,,,Rest of Asia Pacific,Rest of Asia Pacific,Rest of Asia Pacific,,,,Corporate,Corporate,Corporate,,,,Total,Total,Total
Net sales,Net sales,Net sales,$,40315,,,,,$,24454,,,,,$,16002,,,,,$,7298,,,,,$,7290,,,,,$,—,,,,,$,95359,
Cost of sales,Cost of sales,Cost of sales,"(21,094)","(21,094)",,,,,"(13,025)","(13,025)",,,,,"(8,794)","(8,794)",,,,,"(3,610)","(3,610)",,,,,"(3,969)","(3,969)",,,,,—,—,,,,,"(50,492)","(50,492)",
Research and development,Research and development,Research and development,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(8,550)","(8,550)",,,,,"(8,550)","(8,550)",
Selling and marketing,Selling and marketing,Selling and marketing,"(2,447)","(2,447)",,,,,"(1,113)","(1,113)",,,,,(582),(582),,,,,(254),(254),,,,,(335),(335),,,,,—,—,,,,,"(4,731)","(4,731)",
General and administrative,General and administrative,General and administrative,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,—,—,,,,,"(1,997)","(1,997)",,,,,"(1,997)","(1,997)",
Operating income/(loss),Operating income/(loss),Operating income/(loss),$,16774,,,,,$,10316,,,,,$,6626,,,,,$,3434,,,,,$,2986,,,,,$,"(10,547)",,,,,$,29589,
