0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,Periods,Periods,,,,Total Number of Shares Purchased,Total Number of Shares Purchased,Total Number of Shares Purchased,,,,Average Price Paid Per Share,Average Price Paid Per Share,Average Price Paid Per Share,,,,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs,,,,Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1),Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1),Approximate Dollar Value ofShares That May Yet Be PurchasedUnder the Plans or Programs (1)
"December 28, 2025 to January 31, 2026:","December 28, 2025 to January 31, 2026:","December 28, 2025 to January 31, 2026:",,,,,,,,,,,,,,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,,,,41032,41032,,,,,$,259.26,,,,,41032,41032,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 1, 2026 to February 28, 2026:","February 1, 2026 to February 28, 2026:","February 1, 2026 to February 28, 2026:",,,,,,,,,,,,,,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,,,,1395,1395,,,,,$,265.20,,,,,1395,1395,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"March 1, 2026 to March 28, 2026:","March 1, 2026 to March 28, 2026:","March 1, 2026 to March 28, 2026:",,,,,,,,,,,,,,,,,,,,,,,,
Open market and privately negotiated purchases,Open market and privately negotiated purchases,Open market and privately negotiated purchases,,,,—,—,,,,,$,—,,,,,—,—,,,,,,,
Total,Total,Total,,,,42427,42427,,,,,,,,,,,,,,,,,$,63771,
