0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,Page,Page,Page
Part I,Part I,Part I,Part I,Part I,Part I,Part I,Part I,Part I
Item 1.,Item 1.,Item 1.,Financial Statements,Financial Statements,Financial Statements,1,1,1
Item 2.,Item 2.,Item 2.,Management’s Discussion and Analysis of Financial Condition and Results of Operations,Management’s Discussion and Analysis of Financial Condition and Results of Operations,Management’s Discussion and Analysis of Financial Condition and Results of Operations,13,13,13
Item 3.,Item 3.,Item 3.,Quantitative and Qualitative Disclosures About Market Risk,Quantitative and Qualitative Disclosures About Market Risk,Quantitative and Qualitative Disclosures About Market Risk,19,19,19
Item 4.,Item 4.,Item 4.,Controls and Procedures,Controls and Procedures,Controls and Procedures,19,19,19
Part II,Part II,Part II,Part II,Part II,Part II,Part II,Part II,Part II
Item 1.,Item 1.,Item 1.,Legal Proceedings,Legal Proceedings,Legal Proceedings,20,20,20
Item 1A.,Item 1A.,Item 1A.,Risk Factors,Risk Factors,Risk Factors,21,21,21
Item 2.,Item 2.,Item 2.,Unregistered Sales of Equity Securities and Use of Proceeds,Unregistered Sales of Equity Securities and Use of Proceeds,Unregistered Sales of Equity Securities and Use of Proceeds,24,24,24
Item 3.,Item 3.,Item 3.,Defaults Upon Senior Securities,Defaults Upon Senior Securities,Defaults Upon Senior Securities,25,25,25
Item 4.,Item 4.,Item 4.,Mine Safety Disclosures,Mine Safety Disclosures,Mine Safety Disclosures,25,25,25
Item 5.,Item 5.,Item 5.,Other Information,Other Information,Other Information,25,25,25
Item 6.,Item 6.,Item 6.,Exhibits,Exhibits,Exhibits,25,25,25
