0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended,Six Months Ended
,,,"March 28, 2026","March 28, 2026","March 28, 2026",,,,"March 29, 2025","March 29, 2025","March 29, 2025"
"Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances","Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances","Cash, cash equivalents, and restricted cash and cash equivalents, beginning balances",$,35934,,,,,$,29943,
,,,,,,,,,,,
Operating activities:,Operating activities:,Operating activities:,,,,,,,,,
Net income,Net income,Net income,71675,71675,,,,,61110,61110,
Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,Adjustments to reconcile net income to cash generated by operating activities:,,,,,,,,,
Depreciation and amortization,Depreciation and amortization,Depreciation and amortization,6653,6653,,,,,5741,5741,
Share-based compensation expense,Share-based compensation expense,Share-based compensation expense,7122,7122,,,,,6512,6512,
Other,Other,Other,"(1,717)","(1,717)",,,,,"(2,217)","(2,217)",
Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,Changes in operating assets and liabilities:,,,,,,,,,
"Accounts receivable, net","Accounts receivable, net","Accounts receivable, net",9295,9295,,,,,7266,7266,
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,10008,10008,,,,,9171,9171,
Inventories,Inventories,Inventories,"(1,084)","(1,084)",,,,,858,858,
Other current and non-current assets,Other current and non-current assets,Other current and non-current assets,"(14,329)","(14,329)",,,,,"(4,371)","(4,371)",
Accounts payable,Accounts payable,Accounts payable,"(12,297)","(12,297)",,,,,"(14,604)","(14,604)",
Other current and non-current liabilities,Other current and non-current liabilities,Other current and non-current liabilities,7301,7301,,,,,"(15,579)","(15,579)",
Cash generated by operating activities,Cash generated by operating activities,Cash generated by operating activities,82627,82627,,,,,53887,53887,
,,,,,,,,,,,
Investing activities:,Investing activities:,Investing activities:,,,,,,,,,
Purchases of marketable securities,Purchases of marketable securities,Purchases of marketable securities,"(32,432)","(32,432)",,,,,"(12,442)","(12,442)",
Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,Proceeds from maturities of marketable securities,18691,18691,,,,,26587,26587,
Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,Proceeds from sales of marketable securities,8615,8615,,,,,5210,5210,
"Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","Payments for acquisition of property, plant and equipment","(4,344)","(4,344)",,,,,"(6,011)","(6,011)",
,,,,,,,,,,,
Other,Other,Other,"(1,584)","(1,584)",,,,,(635),(635),
Cash generated by/(used in) investing activities,Cash generated by/(used in) investing activities,Cash generated by/(used in) investing activities,"(11,054)","(11,054)",,,,,12709,12709,
,,,,,,,,,,,
Financing activities:,Financing activities:,Financing activities:,,,,,,,,,
Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,Payments for taxes related to net share settlement of equity awards,"(3,252)","(3,252)",,,,,"(3,205)","(3,205)",
Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,Payments for dividends and dividend equivalents,"(7,743)","(7,743)",,,,,"(7,614)","(7,614)",
Repurchases of common stock,Repurchases of common stock,Repurchases of common stock,"(36,989)","(36,989)",,,,,"(49,504)","(49,504)",
,,,,,,,,,,,
Repayments of term debt,Repayments of term debt,Repayments of term debt,"(7,914)","(7,914)",,,,,"(4,009)","(4,009)",
"Repayments of commercial paper, net","Repayments of commercial paper, net","Repayments of commercial paper, net","(5,911)","(5,911)",,,,,"(3,968)","(3,968)",
Other,Other,Other,(126),(126),,,,,(77),(77),
Cash used in financing activities,Cash used in financing activities,Cash used in financing activities,"(61,935)","(61,935)",,,,,"(68,377)","(68,377)",
,,,,,,,,,,,
"Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents","Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents","Increase/(Decrease) in cash, cash equivalents, and restricted cash and cash equivalents",9638,9638,,,,,"(1,781)","(1,781)",
"Cash, cash equivalents, and restricted cash and cash equivalents, ending balances","Cash, cash equivalents, and restricted cash and cash equivalents, ending balances","Cash, cash equivalents, and restricted cash and cash equivalents, ending balances",$,45572,,,,,$,28162,
,,,,,,,,,,,
Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,Supplemental cash flow disclosure:,,,,,,,,,
"Cash paid for income taxes, net","Cash paid for income taxes, net","Cash paid for income taxes, net",$,20397,,,,,$,31683,
