0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025","Three Months Ended March 31, 2025"
,,,"Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital","Class A, Class B, Class C Stock and Additional Paid-In Capital",,,,Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),,,,Retained Earnings,Retained Earnings,Retained Earnings,,,,Total Stockholders’ Equity,Total Stockholders’ Equity,Total Stockholders’ Equity
,,,Shares,Shares,Shares,,,,Amount,Amount,Amount,,,,Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),Accumulated Other Comprehensive Income (Loss),,,,Retained Earnings,Retained Earnings,Retained Earnings,,,,Total Stockholders’ Equity,Total Stockholders’ Equity,Total Stockholders’ Equity
"Balance as of December 31, 2024","Balance as of December 31, 2024","Balance as of December 31, 2024",12211,12211,,,,,$,84800,,,,,$,"(4,800)",,,,,$,245084,,,,,$,325084,
Stock issued,Stock issued,Stock issued,27,27,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,
Stock-based compensation,Stock-based compensation,Stock-based compensation,0,0,,,,,5553,5553,,,,,0,0,,,,,0,0,,,,,5553,5553,
"Tax withholding related to vesting of restricted stock units, and other","Tax withholding related to vesting of restricted stock units, and other","Tax withholding related to vesting of restricted stock units, and other",0,0,,,,,"(3,240)","(3,240)",,,,,0,0,,,,,0,0,,,,,"(3,240)","(3,240)",
Repurchases of stock,Repurchases of stock,Repurchases of stock,(83),(83),,,,,(815),(815),,,,,0,0,,,,,"(14,486)","(14,486)",,,,,"(15,301)","(15,301)",
Dividends and dividend equivalents declared ($0.20 per share),Dividends and dividend equivalents declared ($0.20 per share),Dividends and dividend equivalents declared ($0.20 per share),0,0,,,,,27,27,,,,,0,0,,,,,"(2,510)","(2,510)",,,,,"(2,483)","(2,483)",
Sale of interest in consolidated entities,Sale of interest in consolidated entities,Sale of interest in consolidated entities,0,0,,,,,400,400,,,,,0,0,,,,,0,0,,,,,400,400,
Net income,Net income,Net income,0,0,,,,,0,0,,,,,0,0,,,,,34540,34540,,,,,34540,34540,
Other comprehensive income (loss),Other comprehensive income (loss),Other comprehensive income (loss),0,0,,,,,0,0,,,,,714,714,,,,,0,0,,,,,714,714,
"Balance as of March 31, 2025","Balance as of March 31, 2025","Balance as of March 31, 2025",12155,12155,,,,,$,86725,,,,,$,"(4,086)",,,,,$,262628,,,,,$,345267,
