0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,,,,,,,,,,,,,,
,,,,,,"As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025","As of December 31, 2025"
,,,,,,Quoted Prices inActive Marketsfor Identical Assets(Level 1),Quoted Prices inActive Marketsfor Identical Assets(Level 1),Quoted Prices inActive Marketsfor Identical Assets(Level 1),,,,Significant OtherObservable Inputs(Level 2),Significant OtherObservable Inputs(Level 2),Significant OtherObservable Inputs(Level 2),,,,Total,Total,Total
Cash,Cash,Cash,,,,,,,,,,,,,,,,$,15305,
Cash equivalents:,Cash equivalents:,Cash equivalents:,,,,,,,,,,,,,,,,,,
Money market funds,Money market funds,Money market funds,,,,$,11349,,,,,$,0,,,,,$,11349,
Time deposits,Time deposits,Time deposits,,,,0,0,,,,,3353,3353,,,,,3353,3353,
Government bonds,Government bonds,Government bonds,,,,0,0,,,,,602,602,,,,,602,602,
Corporate debt securities,Corporate debt securities,Corporate debt securities,,,,0,0,,,,,99,99,,,,,99,99,
Total cash and cash equivalents,Total cash and cash equivalents,Total cash and cash equivalents,,,,11349,11349,,,,,4054,4054,,,,,30708,30708,
Marketable securities:,Marketable securities:,Marketable securities:,,,,,,,,,,,,,,,,,,
Marketable equity securities,Marketable equity securities,Marketable equity securities,,,,4402,4402,4402,,,,1911,1911,1911,,,,6313,6313,6313
Time deposits,Time deposits,Time deposits,,,,0,0,,,,,0,0,,,,,0,0,
Government bonds,Government bonds,Government bonds,,,,0,0,0,,,,50549,50549,50549,,,,50549,50549,50549
Corporate debt securities,Corporate debt securities,Corporate debt securities,,,,0,0,0,,,,21565,21565,21565,,,,21565,21565,21565
Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,Mortgage-backed and asset-backed securities,,,,0,0,0,,,,17708,17708,17708,,,,17708,17708,17708
Total marketable securities,Total marketable securities,Total marketable securities,,,,4402,4402,,,,,91733,91733,,,,,96135,96135,
Total,Total,Total,,,,$,15751,,,,,$,95787,,,,,$,126843,
