0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Maturity,Maturity,Maturity,,,,Coupon Rate,Coupon Rate,Coupon Rate,,,,Effective Interest Rate,Effective Interest Rate,Effective Interest Rate,,,,"As of December 31, 2025","As of December 31, 2025","As of December 31, 2025",,,,"As of March 31, 2026","As of March 31, 2026","As of March 31, 2026"
Debt,Debt,Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 US dollar notes,2016 US dollar notes,2016 US dollar notes,,,,2026,2026,2026,,,,2.00%,2.00%,2.00%,,,,2.23%,2.23%,2.23%,,,,$,2000,,,,,$,2000,
2020 US dollar notes,2020 US dollar notes,2020 US dollar notes,,,,2027 - 2060,2027 - 2060,2027 - 2060,,,,0.80% - 2.25%,0.80% - 2.25%,0.80% - 2.25%,,,,0.93% - 2.33%,0.93% - 2.33%,0.93% - 2.33%,,,,9000,9000,,,,,9000,9000,
2025 US dollar notes(1),2025 US dollar notes(1),2025 US dollar notes(1),,,,2028 - 2075,2028 - 2075,2028 - 2075,,,,3.88% - 5.70%,3.88% - 5.70%,3.88% - 5.70%,,,,4.00% - 5.79%,4.00% - 5.79%,4.00% - 5.79%,,,,22500,22500,,,,,22500,22500,
2025 Euro notes(2),2025 Euro notes(2),2025 Euro notes(2),,,,2028 - 2064,2028 - 2064,2028 - 2064,,,,2.38% - 4.38%,2.38% - 4.38%,2.38% - 4.38%,,,,2.57% - 4.51%,2.57% - 4.51%,2.57% - 4.51%,,,,15585,15585,,,,,15265,15265,
2026 US dollar notes,2026 US dollar notes,2026 US dollar notes,,,,2029 - 2066,2029 - 2066,2029 - 2066,,,,3.70% - 5.75%,3.70% - 5.75%,3.70% - 5.75%,,,,3.93% - 5.84%,3.93% - 5.84%,3.93% - 5.84%,,,,0,0,,,,,20000,20000,
2026 Sterling notes(2),2026 Sterling notes(2),2026 Sterling notes(2),,,,2029 - 2126,2029 - 2126,2029 - 2126,,,,4.13% - 6.13%,4.13% - 6.13%,4.13% - 6.13%,,,,4.23% - 6.19%,4.23% - 6.19%,4.23% - 6.19%,,,,0,0,,,,,7310,7310,
2026 Swiss franc notes(2),2026 Swiss franc notes(2),2026 Swiss franc notes(2),,,,2029 - 2051,2029 - 2051,2029 - 2051,,,,0.43% - 1.87%,0.43% - 1.87%,0.43% - 1.87%,,,,0.52% - 1.90%,0.52% - 1.90%,0.52% - 1.90%,,,,0,0,,,,,3833,3833,
Other long-term debt,Other long-term debt,Other long-term debt,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,397,397,
Total face value of long-term debt,Total face value of long-term debt,Total face value of long-term debt,,,,,,,,,,,,,,,,,,,,,,49085,49085,,,,,80305,80305,
Unamortized discount and debt issuance costs(2),Unamortized discount and debt issuance costs(2),Unamortized discount and debt issuance costs(2),,,,,,,,,,,,,,,,,,,,,,(542),(542),,,,,(806),(806),
Less: current portion of long-term notes(3),Less: current portion of long-term notes(3),Less: current portion of long-term notes(3),,,,,,,,,,,,,,,,,,,,,,"(1,996)","(1,996)",,,,,"(1,998)","(1,998)",
Total long-term debt,Total long-term debt,Total long-term debt,,,,,,,,,,,,,,,,,,,,,,$,46547,,,,,$,77501,
