0,1,2,3,4,5,6,7,8
,,,,,,,,
,,,,,,Page No.,Page No.,Page No.
Note About Forward-Looking Statements,Note About Forward-Looking Statements,Note About Forward-Looking Statements,Note About Forward-Looking Statements,Note About Forward-Looking Statements,Note About Forward-Looking Statements,3,3,3
,,,,,,,,
PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION,PART I. FINANCIAL INFORMATION
Item 1,Item 1,Item 1,Financial Statements,Financial Statements,Financial Statements,4,4,4
,,,"Consolidated Balance Sheets - December 31, 2025 and March 31, 2026","Consolidated Balance Sheets - December 31, 2025 and March 31, 2026","Consolidated Balance Sheets - December 31, 2025 and March 31, 2026",4,4,4
,,,"Consolidated Statements of Income - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Income - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Income - Three Months Ended March 31, 2025 and 2026",5,5,5
,,,"Consolidated Statements of Comprehensive Income - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Comprehensive Income - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Comprehensive Income - Three Months Ended March 31, 2025 and 2026",6,6,6
,,,"Consolidated Statements of Stockholders' Equity - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Stockholders' Equity - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Stockholders' Equity - Three Months Ended March 31, 2025 and 2026",7,7,7
,,,"Consolidated Statements of Cash Flows - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Cash Flows - Three Months Ended March 31, 2025 and 2026","Consolidated Statements of Cash Flows - Three Months Ended March 31, 2025 and 2026",8,8,8
,,,Notes to Consolidated Financial Statements,Notes to Consolidated Financial Statements,Notes to Consolidated Financial Statements,9,9,9
Item 2,Item 2,Item 2,Management’s Discussion and Analysis of Financial Condition and Results of Operations,Management’s Discussion and Analysis of Financial Condition and Results of Operations,Management’s Discussion and Analysis of Financial Condition and Results of Operations,35,35,35
Item 3,Item 3,Item 3,Quantitative and Qualitative Disclosures About Market Risk,Quantitative and Qualitative Disclosures About Market Risk,Quantitative and Qualitative Disclosures About Market Risk,48,48,48
Item 4,Item 4,Item 4,Controls and Procedures,Controls and Procedures,Controls and Procedures,48,48,48
,,,,,,,,
PART II. OTHER INFORMATION,PART II. OTHER INFORMATION,PART II. OTHER INFORMATION,PART II. OTHER INFORMATION,PART II. OTHER INFORMATION,PART II. OTHER INFORMATION,PART II. OTHER INFORMATION,PART II. OTHER INFORMATION,PART II. OTHER INFORMATION
Item 1,Item 1,Item 1,Legal Proceedings,Legal Proceedings,Legal Proceedings,49,49,49
Item 1A,Item 1A,Item 1A,Risk Factors,Risk Factors,Risk Factors,49,49,49
Item 2,Item 2,Item 2,Unregistered Sales of Equity Securities and Use of Proceeds,Unregistered Sales of Equity Securities and Use of Proceeds,Unregistered Sales of Equity Securities and Use of Proceeds,50,50,50
Item 5,Item 5,Item 5,Other Information,Other Information,Other Information,50,50,50
Item 6,Item 6,Item 6,Exhibits,Exhibits,Exhibits,51,51,51
Signatures,Signatures,Signatures,Signatures,Signatures,Signatures,53,53,53
