0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,","Three Months Ended March 31,"
,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,,,,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
,,,Class A,Class A,Class A,,,,Class B,Class B,Class B,,,,Class C,Class C,Class C,,,,Consolidated,Consolidated,Consolidated,,,,Class A,Class A,Class A,,,,Class B,Class B,Class B,,,,Class C,Class C,Class C,,,,Consolidated,Consolidated,Consolidated
Basic net income per share:,Basic net income per share:,Basic net income per share:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numerator,Numerator,Numerator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocation of distributed earnings (cash dividends paid),Allocation of distributed earnings (cash dividends paid),Allocation of distributed earnings (cash dividends paid),$,1167,,,,,$,171,,,,,$,1096,,,,,$,2434,,,,,$,1223,,,,,$,175,,,,,$,1144,,,,,$,2542,
Allocation of undistributed earnings,Allocation of undistributed earnings,Allocation of undistributed earnings,15367,15367,,,,,2264,2264,,,,,14475,14475,,,,,32106,32106,,,,,28889,28889,,,,,4153,4153,,,,,26994,26994,,,,,60036,60036,
Net income,Net income,Net income,$,16534,,,,,$,2435,,,,,$,15571,,,,,$,34540,,,,,$,30112,,,,,$,4328,,,,,$,28138,,,,,$,62578,
Denominator,Denominator,Denominator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
