0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,,,,,,,,,,,,,,,,,,,,
Exhibit Number,Exhibit Number,Exhibit Number,,,,,,,Description,Description,Description,,,,Incorporated by reference herein,Incorporated by reference herein,Incorporated by reference herein,Incorporated by reference herein,Incorporated by reference herein,Incorporated by reference herein,Incorporated by reference herein,Incorporated by reference herein,Incorporated by reference herein
Exhibit Number,Exhibit Number,Exhibit Number,,,,,,,Description,Description,Description,,,,Form,Form,Form,,,,Date,Date,Date
4.1,4.1,4.1,,,,,,,"Indenture, dated February 12, 2016, between Alphabet Inc. and The Bank of New York Mellon Trust Company, N.A., as trustee","Indenture, dated February 12, 2016, between Alphabet Inc. and The Bank of New York Mellon Trust Company, N.A., as trustee","Indenture, dated February 12, 2016, between Alphabet Inc. and The Bank of New York Mellon Trust Company, N.A., as trustee",,,,Registration Statement on Form S-3 (File No. 333-209510),Registration Statement on Form S-3 (File No. 333-209510),Registration Statement on Form S-3 (File No. 333-209510),,,,"February 16, 2016","February 16, 2016","February 16, 2016"
4.2,4.2,4.2,,,,,,,Form of Global Note representing the Registrant's 4.125% notes due 2029,Form of Global Note representing the Registrant's 4.125% notes due 2029,Form of Global Note representing the Registrant's 4.125% notes due 2029,,,,Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),,,,"February 13, 2026","February 13, 2026","February 13, 2026"
4.3,4.3,4.3,,,,,,,Form of Global Note representing the Registrant’s 4.625% notes due 2032,Form of Global Note representing the Registrant’s 4.625% notes due 2032,Form of Global Note representing the Registrant’s 4.625% notes due 2032,,,,Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),,,,"February 13, 2026","February 13, 2026","February 13, 2026"
4.4,4.4,4.4,,,,,,,Form of Global Note representing the Registrant's 5.500% notes due 2041,Form of Global Note representing the Registrant's 5.500% notes due 2041,Form of Global Note representing the Registrant's 5.500% notes due 2041,,,,Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),,,,"February 13, 2026","February 13, 2026","February 13, 2026"
4.5,4.5,4.5,,,,,,,Form of Global Note representing the Registrant's 5.875% notes due 2058,Form of Global Note representing the Registrant's 5.875% notes due 2058,Form of Global Note representing the Registrant's 5.875% notes due 2058,,,,Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),,,,"February 13, 2026","February 13, 2026","February 13, 2026"
4.6,4.6,4.6,,,,,,,Form of Global Note representing the Registrant's 6.125% notes due 2126,Form of Global Note representing the Registrant's 6.125% notes due 2126,Form of Global Note representing the Registrant's 6.125% notes due 2126,,,,Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),,,,"February 13, 2026","February 13, 2026","February 13, 2026"
4.7,4.7,4.7,,,,,,,Form of Global Note representing the Registrant's 3.700% notes due 2029,Form of Global Note representing the Registrant's 3.700% notes due 2029,Form of Global Note representing the Registrant's 3.700% notes due 2029,,,,Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),Current Report on Form 8-K (File No. 001-37580),,,,"February 13, 2026","February 13, 2026","February 13, 2026"
