0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(In millions),,FairValueLevel,,,AdjustedCostBasis,AdjustedCostBasis,,,UnrealizedGains,UnrealizedGains,,,UnrealizedLosses,UnrealizedLosses,,,RecordedBasis,RecordedBasis,,,Cashand CashEquivalents,Cashand CashEquivalents,,,Short-termInvestments,Short-termInvestments,,,Equityand OtherInvestments,Equityand OtherInvestments,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"March 31, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Fair Value Recorded in Other Comprehensive Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial paper,,Level 2,,,$,5544,,,$,0,,,$,0,,,$,5544,,,$,5543,,,$,1,,,$,0,
Certificates of deposit,,Level 2,,,,1394,,,,0,,,,0,,,,1394,,,,1350,,,,44,,,,0,
U.S. government securities,,Level 1,,,,50821,,,,25,,,,"(1,078",),,,49768,,,,8923,,,,32119,,,,8726,
U.S. agency securities,,Level 2,,,,3215,,,,0,,,,0,,,,3215,,,,2465,,,,750,,,,0,
Foreign government bonds,,Level 2,,,,225,,,,13,,,,(5,),,,233,,,,0,,,,233,,,,0,
Mortgage- and asset-backed securities,,Level 2,,,,2010,,,,6,,,,(23,),,,1993,,,,0,,,,1993,,,,0,
Corporate notes and bonds,,Level 2,,,,10652,,,,66,,,,(73,),,,10645,,,,0,,,,10645,,,,0,
Corporate notes and bonds,,Level 3,,,,1601,,,,120,,,,0,,,,1721,,,,0,,,,101,,,,1620,
Municipal securities,,Level 2,,,,152,,,,1,,,,(6,),,,147,,,,0,,,,147,,,,0,
Municipal securities,,Level 3,,,,104,,,,0,,,,(14,),,,90,,,,0,,,,90,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total debt investments,,,,,$,75718,,,$,231,,,$,"(1,199",),,$,74750,,,$,18281,,,$,46123,,,$,10346,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Fair Value Recorded in Net Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity investments,,Level 1,,,,,,,,,,,,,,,$,3911,,,$,1093,,,$,0,,,$,2818,
Equity investments,,Other,,,,,,,,,,,,,,,,20519,,,,0,,,,0,,,,20519,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total equity investments,,,,,,,,,,,,,,,,,$,24430,,,$,1093,,,$,0,,,$,23337,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash,,,,,,,,,,,,,,,,,$,12731,,,$,12731,,,$,0,,,$,0,
"Derivatives, net (a)",,,,,,,,,,,,,,,,,,44,,,,0,,,,44,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,$,111955,,,$,32105,,,$,46167,,,$,33683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
