0,1,2,3,4,5,6,7,8
,,,,,,,,
"(In millions, except lease term and discount rate)",,,,,,,,
,,,,,,,,
,,,,,,,,
,,"March 31,2026","March 31,2026",,,"June 30,2025","June 30,2025",
,,,,,,,,
Operating Leases,,,,,,,,
,,,,,,,,
Operating lease right-of-use assets,,$,24403,,,$,24823,
,,,,,,,,
,,,,,,,,
Other current liabilities,,$,5535,,,$,5424,
Operating lease liabilities,,,16703,,,,17437,
,,,,,,,,
,,,,,,,,
Total operating lease liabilities,,$,22238,,,$,22861,
,,,,,,,,
,,,,,,,,
Finance Leases,,,,,,,,
,,,,,,,,
"Property and equipment, at cost",,$,77633,,,$,53876,
Accumulated depreciation,,,"(13,916",),,,"(9,861",)
,,,,,,,,
,,,,,,,,
"Property and equipment, net",,$,63717,,,$,44015,
,,,,,,,,
,,,,,,,,
Other current liabilities,,$,4063,,,$,3172,
Other long-term liabilities,,,58869,,,,43000,
,,,,,,,,
,,,,,,,,
Total finance lease liabilities,,$,62932,,,$,46172,
,,,,,,,,
,,,,,,,,
Weighted Average Remaining Lease Term,,,,,,,,
,,,,,,,,
Operating leases,,,6 years,,,,6 years,
Finance leases,,,13 years,,,,13 years,
,,,,,,,,
Weighted Average Discount Rate,,,,,,,,
,,,,,,,,
Operating leases,,,3.6%,,,,3.5%,
Finance leases,,,4.4%,,,,4.2%,
,,,,,,,,
