0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
Declaration Date,,,Record Date,,,,Payment Date,,,,DividendPer Share,,,,Amount,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fiscal Year 2026,,,,,,,,,,,,,,,(In millions),
,,,,,,,,,,,,,,,,
"September 15, 2025",,,"November 20, 2025",,,,"December 11, 2025",,,$,0.91,,,$,6762,
"December 2, 2025",,,"February 19, 2026",,,,"March 12, 2026",,,,0.91,,,,6756,
"March 10, 2026",,,"May 21, 2026",,,,"June 11, 2026",,,,0.91,,,,6760,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,,,,,,,,,$,2.73,,,$,20278,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fiscal Year 2025,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"September 16, 2024",,,"November 21, 2024",,,,"December 12, 2024",,,$,0.83,,,$,6170,
"December 3, 2024",,,"February 20, 2025",,,,"March 13, 2025",,,,0.83,,,,6169,
"March 11, 2025",,,"May 15, 2025",,,,"June 12, 2025",,,,0.83,,,,6169,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,,,,,,,,,$,2.49,,,$,18508,
,,,,,,,,,,,,,,,,
