0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,,,,,,,,,,,,,,,,,,,,,,
"(In millions, except percentages)",,"Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,","Three Months EndedMarch 31,",,,PercentageChange,PercentageChange,,,"Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,","Nine Months EndedMarch 31,",,,PercentageChange,PercentageChange,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,2026,2026,,,2025,2025,,,,,,,2026,2026,,,2025,2025,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Productivity and Business Processes,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,$,35013,,,$,29944,,,,17%,,,$,102149,,,$,87698,,,,16%,
Cost of revenue,,,6197,,,,5517,,,,12%,,,,18028,,,,16380,,,,10%,
Operating expenses,,,7843,,,,7048,,,,11%,,,,22142,,,,20538,,,,8%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Operating income,,$,20973,,,$,17379,,,,21%,,,$,61979,,,$,50780,,,,22%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent Cloud,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,$,34681,,,$,26751,,,,30%,,,$,98485,,,$,76387,,,,29%,
Cost of revenue,,,15120,,,,10307,,,,47%,,,,41000,,,,28326,,,,45%,
Operating expenses,,,5808,,,,5349,,,,9%,,,,16468,,,,15612,,,,5%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Operating income,,$,13753,,,$,11095,,,,24%,,,$,41017,,,$,32449,,,,26%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
More Personal Computing,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,$,13192,,,$,13371,,,,(1)%,,,$,41198,,,$,41198,,,,0%,
Cost of revenue,,,5511,,,,6095,,,,(10)%,,,,17821,,,,19111,,,,(7)%,
Operating expenses,,,4009,,,,3750,,,,7%,,,,11739,,,,11111,,,,6%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Operating income,,$,3672,,,$,3526,,,,4%,,,$,11638,,,$,10976,,,,6%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,$,82886,,,$,70066,,,,18%,,,$,241832,,,$,205283,,,,18%,
Cost of revenue,,,26828,,,,21919,,,,22%,,,,76849,,,,63817,,,,20%,
Operating expenses,,,17660,,,,16147,,,,9%,,,,50349,,,,47261,,,,7%,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Operating income,,$,38398,,,$,32000,,,,20%,,,$,114634,,,$,94205,,,,22%,
,,,,,,,,,,,,,,,,,,,,,,,,
