0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,,,,,,,
,,,,,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference
ExhibitNumber,,Exhibit Description,,Filed Herewith,,Form,,PeriodEnding,,Exhibit,,Filing Date
,,,,,,,,,,,,
,,,,,,,,,,,,
10.1*,,Microsoft Corporation 2026 Stock Plan,,X,,,,,,,,
,,,,,,,,,,,,
10.2*,,Form of Stock Award Agreement Under the Microsoft Corporation 2026 Stock Plan,,X,,,,,,,,
,,,,,,,,,,,,
10.3*,,Microsoft Corporation Executive Incentive Plan,,X,,,,,,,,
,,,,,,,,,,,,
10.4*,,Microsoft Corporation Deferred Compensation Plan for Non-Employee Directors,,X,,,,,,,,
,,,,,,,,,,,,
15.1,,Letter regarding unaudited interim financial information,,X,,,,,,,,
,,,,,,,,,,,,
31.1,,Certification of Chief Executive Officer Pursuant to Section 302 of the Sarbanes-Oxley Act of 2002,,X,,,,,,,,
,,,,,,,,,,,,
31.2,,Certification of Chief Financial Officer Pursuant to Section 302 of the Sarbanes-Oxley Act of 2002,,X,,,,,,,,
,,,,,,,,,,,,
32.1**,,Certification of Chief Executive Officer Pursuant to Section 906 of the Sarbanes-Oxley Act of 2002,,X,,,,,,,,
,,,,,,,,,,,,
32.2**,,Certification of Chief Financial Officer Pursuant to Section 906 of the Sarbanes-Oxley Act of 2002,,X,,,,,,,,
,,,,,,,,,,,,
101.INS,,Inline XBRL Instance Document–the instance document does not appear in the Interactive Data File as its XBRL tags are embedded within the Inline XBRL document,,X,,,,,,,,
,,,,,,,,,,,,
101.SCH,,Inline XBRL Taxonomy Extension Schema with Embedded Linkbase Documents,,X,,,,,,,,
,,,,,,,,,,,,
104,,Cover page formatted as Inline XBRL and contained in Exhibit 101,,X,,,,,,,,
